"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 06:20:46 GMT 2023","Fri Jul 07 06:20:46 GMT 2023","227","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeGetArtistInfo","negativeGetArtistInfo",""
"passed","Fri Jul 07 06:20:41 GMT 2023","Fri Jul 07 06:20:45 GMT 2023","4582","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","deleteUserSavedAlbums","deleteUserSavedAlbums",""
"passed","Fri Jul 07 06:20:48 GMT 2023","Fri Jul 07 06:20:48 GMT 2023","246","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveGetArtistInfo","positiveGetArtistInfo",""
"passed","Fri Jul 07 06:20:48 GMT 2023","Fri Jul 07 06:20:49 GMT 2023","724","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","searchInSpotify","searchInSpotify",""
"passed","Fri Jul 07 06:20:47 GMT 2023","Fri Jul 07 06:20:47 GMT 2023","326","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveCheckUserSavedAlbums","positiveCheckUserSavedAlbums",""
"passed","Fri Jul 07 06:20:47 GMT 2023","Fri Jul 07 06:20:48 GMT 2023","560","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveGetAlbum","positiveGetAlbum",""
"passed","Fri Jul 07 06:20:46 GMT 2023","Fri Jul 07 06:20:46 GMT 2023","381","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeGetAlbum","negativeGetAlbum",""
"passed","Fri Jul 07 06:20:45 GMT 2023","Fri Jul 07 06:20:46 GMT 2023","520","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeCheckUserSavedAlbums","negativeCheckUserSavedAlbums",""
"passed","Fri Jul 07 06:20:46 GMT 2023","Fri Jul 07 06:20:47 GMT 2023","224","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeSaveAlbumsToCurrentUser","negativeSaveAlbumsToCurrentUser",""
"passed","Fri Jul 07 06:20:48 GMT 2023","Fri Jul 07 06:20:48 GMT 2023","242","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveSaveAlbumsToCurrentUser","positiveSaveAlbumsToCurrentUser",""
